English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Spanish Word
acquisitions	0	0	0	0	0	0	0	0	0	0	adquisiciones
acreage	0	0	0	0	0	0	0	0	0	0	superficie en acres
acres	0	0	0	0	0	0	0	0	0	0	hectáreas
acrobat	0	0	0	1	1	0	1	0	0	1	acróbata
refraining	0	0	0	0	0	0	0	0	0	0	absteniéndose
acting	0	0	0	0	0	0	0	0	0	0	interino
action	0	0	0	0	0	0	1	0	0	0	acción
actionable	1	0	1	0	0	1	0	0	0	0	procesable
active	0	0	0	0	0	0	0	0	0	0	activo
activity	0	0	0	0	0	0	0	0	0	0	actividad
actor	0	0	0	0	0	0	0	0	0	0	actor
actual	0	0	0	0	0	0	1	0	0	0	actual
actuality	0	0	0	0	0	0	0	0	0	0	realidad
actuary	0	0	0	0	0	0	0	0	0	0	actuario
acuity	0	0	0	0	0	0	1	0	0	0	agudeza
acumen	0	0	0	0	0	0	1	0	0	0	perspicacia
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuntura
acutely	0	0	0	0	0	0	0	0	0	0	extremadamente
adage	0	0	0	0	0	0	0	0	0	0	adagio
accelerate	0	1	0	0	0	0	0	0	0	0	acelerar
adapt	0	0	0	0	0	0	1	0	0	0	adaptar
adaptable	0	0	0	0	0	0	1	0	0	0	adaptable
add	0	0	0	0	0	0	0	0	0	0	agregar
accueil	0	0	0	0	0	0	1	0	0	0	accueil
addendum	0	0	0	0	0	0	0	0	0	0	apéndice
adder	1	0	1	1	0	1	0	1	0	0	sumador
addiction	0	0	0	0	0	1	0	0	0	0	adiccion
addition	0	0	0	0	0	0	0	0	0	0	suma
additional	0	0	0	0	0	0	0	0	0	0	adicional
additive	0	0	0	0	0	0	0	0	0	0	aditivo
approach	0	0	0	0	0	0	0	0	0	0	Acercarse
addressee	0	0	0	0	0	0	0	0	0	0	destinatario
addresses	0	1	0	0	0	0	1	0	0	0	direcciones
adept	0	0	0	0	0	0	1	0	0	0	adepto
adequacy	0	0	0	0	0	0	1	0	0	0	adecuación
adequate	0	0	0	0	0	0	0	0	0	0	adecuado
adhere	0	0	0	0	0	0	0	0	0	0	adherirse
adherence	0	0	0	0	0	0	0	0	0	0	adherencia
adherent	0	0	0	0	0	0	0	0	0	0	adherente
adhering	0	0	0	0	0	0	0	0	0	1	adherido
adhesion	0	0	0	0	0	0	0	0	0	0	adhesión
adhesive	0	0	0	0	0	0	0	0	0	0	adhesivo
adieu	0	0	0	0	0	0	0	0	0	0	adiós
adipose	0	0	0	0	0	1	0	0	0	0	adiposo
adjacency	0	0	0	0	0	0	0	0	0	0	proximidad
adjacent	0	0	0	0	0	0	0	0	0	0	adyacente
adjective	0	0	0	0	0	0	0	0	0	0	adjetivo
adjoining	0	0	0	0	0	0	0	0	0	0	contiguo
adjourn	0	0	0	0	0	0	0	0	0	0	aplazar
expedite	0	0	0	0	0	0	0	0	0	0	acelerar
adjudicate	0	0	0	1	0	1	0	0	0	0	juzgar
adjudication	0	0	0	0	0	0	0	0	0	0	adjudicación
adjunct	0	0	0	0	0	0	1	0	0	0	adjunto
adjust	0	0	0	0	0	0	0	0	0	0	ajustar
adjustment	0	0	0	0	0	0	0	0	0	0	ajustamiento
adjuvant	0	0	0	0	0	0	0	0	0	0	auxiliar
administer	0	0	0	0	0	0	0	0	0	0	administrar
administration	0	0	0	0	0	0	0	0	0	0	administración
administrative	0	0	0	0	0	0	0	0	0	1	administrativo
admirable	0	0	0	0	1	0	1	0	0	1	admirable
admiral	0	0	0	0	0	0	1	0	0	1	almirante
admiralty	0	0	0	0	0	0	0	0	0	0	almirantazgo
admiration	0	0	0	0	1	0	1	0	0	1	admiración
admire	0	0	0	0	0	0	1	0	0	1	admirar
admirer	0	0	0	0	0	0	1	0	0	0	admirador
admissibility	0	0	0	0	0	0	0	0	0	0	admisibilidad
hasten	0	0	0	0	0	0	0	0	0	0	acelerar
admission	0	0	0	0	0	0	0	0	0	0	admisión
admit	0	0	0	0	0	0	0	0	0	0	admitir
admittance	0	0	0	0	0	0	0	0	0	0	entrada
admitted	0	0	0	0	0	0	0	0	0	0	aceptado
complexed	0	0	0	0	0	1	0	0	0	0	acomplejado
admixture	0	0	0	0	0	0	0	0	0	0	mezcla
admonition	0	0	0	1	0	1	0	0	0	0	amonestación
ado	0	0	0	0	0	0	0	0	0	0	alharaca
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolescencia
adolescent	0	0	0	0	0	0	0	0	0	0	adolescente
adopt	0	0	0	0	0	0	0	0	0	0	adoptar
adoption	0	0	0	0	0	0	0	0	0	0	adopción
adorable	0	0	0	0	1	0	1	0	0	0	adorable
adoration	0	0	0	0	1	0	1	0	0	1	adoración
adore	0	1	0	0	1	0	1	0	0	1	adorar
adorn	0	0	0	0	0	0	0	0	0	0	adornar
adornment	0	0	0	0	0	0	0	0	0	0	adorno
adrift	0	1	0	1	0	1	0	1	0	0	a la deriva
adult	0	0	0	0	0	0	0	0	0	0	adulto
quicken	0	1	0	0	0	0	0	0	0	0	acelerar
adultery	0	0	1	0	0	1	0	1	0	0	adulterio
harassing	1	0	0	0	0	0	0	0	0	0	acosando
advanced	0	0	0	0	0	0	1	0	0	0	avanzado
advancement	0	0	0	0	0	0	1	0	0	0	avance
crediting	0	0	0	0	0	0	0	0	0	0	acreditando
brighten	0	0	0	0	1	0	1	0	1	1	iluminar
advantageous	0	0	0	0	0	0	1	0	0	0	ventajoso
advent	0	1	0	0	1	0	1	0	0	1	adviento
adventure	0	1	0	0	0	0	1	0	0	0	aventura
adventurer	0	0	0	0	0	0	0	0	0	0	aventurero
adventurous	0	0	0	0	0	0	1	0	0	0	aventurero
clarify	0	0	0	0	0	0	1	0	0	0	aclarar
credited	0	0	0	0	0	0	1	0	0	0	acreditado
adversity	1	0	0	1	0	1	0	1	0	0	adversidad
advertise	0	0	0	0	0	0	0	0	0	0	anunciar
riddled	0	0	0	0	0	1	0	0	0	0	acribillado
reputable	0	0	0	0	0	0	1	0	0	1	acreditado
advisable	0	0	0	0	0	0	1	0	0	1	aconsejable
current	0	0	0	0	0	0	0	0	0	0	Actual
advised	0	0	0	0	0	0	0	0	0	1	aconsejado
advisement	0	0	0	0	0	0	0	0	0	0	asesoramiento
accord	0	0	0	0	0	0	1	0	0	1	acordar
advocacy	1	1	0	0	1	0	1	0	0	1	Abogacía
deal	0	1	0	0	1	0	1	0	1	1	acuerdo
aegis	0	0	0	0	0	0	0	0	0	0	égida
aeration	0	0	0	0	0	0	0	0	0	0	aireación
aerial	0	0	0	0	0	0	0	0	0	0	aéreo
aerodrome	0	0	0	0	0	0	0	0	0	0	aeródromo
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinámica
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronáutica
aeroplane	0	0	0	0	0	0	0	0	0	0	avión
keeping	0	0	0	0	0	0	0	0	0	0	mantener
aesthetics	0	0	0	0	1	0	1	0	0	0	estética
aetiology	0	0	0	0	0	0	0	0	0	0	etiología
afar	0	0	0	0	0	0	0	0	0	0	lejos
affable	0	0	0	0	0	0	1	0	0	0	afable
act	0	0	0	0	0	0	0	0	0	0	Actuar
affecting	0	0	0	0	0	0	0	0	0	0	conmovedor
accusation	1	0	1	0	0	1	0	0	0	0	acusación
accusing	1	0	0	1	0	1	0	0	0	0	acusando
withal	0	0	0	0	0	0	0	0	0	0	además
affidavit	0	0	0	0	0	0	0	0	0	0	declaración jurada
arraignment	1	0	0	1	0	1	0	1	0	0	comparecencia
affiliation	0	0	0	0	0	0	0	0	0	0	afiliación
affinity	0	0	0	0	0	0	0	0	0	0	afinidad
affirm	0	0	0	0	0	0	1	0	0	1	afirmar
affirmation	0	0	0	0	0	0	1	0	0	0	afirmación
affirmative	0	0	0	0	0	0	1	0	0	0	afirmativo
affirmatively	0	0	0	0	0	0	1	0	0	1	afirmativamente
affix	0	0	0	0	0	0	0	0	0	0	afijo
indictment	0	0	0	1	0	1	0	0	0	0	inculpación
accused	1	0	0	1	0	1	0	0	0	0	acusado
defendant	1	0	0	1	0	0	0	1	0	0	demandado
affluence	0	0	0	0	1	0	1	0	0	0	afluencia
admissible	0	0	0	0	0	0	1	0	0	1	admisible
due	0	0	0	0	0	0	0	0	0	0	adeudado
affront	1	0	1	1	0	1	0	1	1	0	afrenta
afield	0	0	0	0	0	0	0	0	0	0	al campo
afore	0	0	0	0	0	0	0	0	0	0	a proa
aforementioned	0	0	0	0	0	0	0	0	0	0	citado
aforesaid	0	0	0	0	0	0	0	0	0	0	antedicho
added	0	0	0	0	0	0	0	0	0	0	adicional
afresh	0	0	0	0	0	0	0	0	0	0	de nuevo
aft	0	0	0	0	0	0	0	0	0	0	en popa
aftermath	1	0	1	1	0	1	0	1	0	0	secuelas
afternoon	0	0	0	0	0	0	0	0	0	0	tarde
aftertaste	0	0	0	0	0	1	0	0	0	0	regusto
afterthought	0	0	0	0	0	0	0	0	0	0	idea tardía
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	ágata
management	0	0	0	0	0	0	1	0	0	1	administración
aged	0	0	0	0	0	0	0	0	0	0	Envejecido
agency	0	0	0	0	0	0	0	0	0	0	agencia
agent	0	0	0	0	0	0	0	0	0	0	agente
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeración
aggravated	1	0	0	0	0	1	0	0	0	0	agravado
aggravating	1	0	0	0	0	1	0	1	0	0	agravante
aggravation	1	0	1	0	0	1	0	0	0	0	agravación
aggregate	0	0	0	0	0	0	0	0	0	0	agregar
aggregation	0	0	0	0	0	0	0	0	0	0	agregación
allowable	0	0	0	0	0	0	1	0	0	0	permitible
aggressive	1	0	0	1	0	1	0	0	0	0	agresivo
adversary	1	0	0	0	0	1	0	0	0	0	adversario
aghast	0	0	1	1	0	1	0	0	1	0	espantado
opponent	1	1	1	1	0	1	0	0	0	0	oponente
agility	0	0	0	0	0	0	1	0	0	0	agilidad
agitated	1	0	0	0	0	1	0	0	0	0	agitado
adverse	1	0	1	1	0	1	0	1	0	0	adverso
agnostic	0	0	0	0	0	0	0	0	0	0	agnóstico
ago	0	0	0	0	0	0	0	0	0	0	atrás
agonizing	0	0	0	1	0	1	0	0	0	0	agonizante
agony	1	0	0	1	0	1	0	1	0	0	agonía
agree	0	0	0	0	0	0	1	0	0	0	aceptar
untoward	1	0	1	0	0	1	0	0	0	0	desfavorable
agreed	0	0	0	0	0	0	1	0	0	1	acordado
admitting	0	0	0	0	0	0	0	0	0	0	admitiendo
worship	0	1	0	1	1	0	1	0	0	1	Adoración
agricultural	0	0	0	0	0	0	0	0	0	0	agrícola
forewarned	0	1	0	1	0	1	0	0	0	0	prevenido
aground	0	0	0	0	0	1	0	0	0	0	encallado
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	adelante
aid	0	0	0	0	0	0	1	0	0	0	ayuda
garnish	0	0	0	0	0	1	0	0	0	0	adornar
cautionary	0	0	0	1	0	0	0	0	0	0	cautelar
affliction	0	0	1	1	0	1	0	1	0	0	aflicción
woe	0	0	1	1	0	1	0	1	0	0	aflicción
aim	0	0	0	0	0	0	0	0	0	0	apuntar
aimless	0	0	0	0	0	1	0	0	0	0	sin objetivo
air	0	0	0	0	0	0	0	0	0	0	aire
afflicted	0	0	0	0	0	1	0	0	0	0	afligido
airlift	0	0	0	0	0	0	0	0	0	0	puente aéreo
airline	0	0	0	0	0	0	0	0	0	0	aerolínea
airman	0	0	0	0	0	0	0	0	0	0	aviador
airplane	0	0	0	0	0	0	0	0	0	0	avión
airport	0	1	0	0	0	0	0	0	0	0	aeropuerto
airs	0	0	1	0	0	1	0	0	0	0	aires
airship	0	0	0	0	0	0	0	0	0	0	dirigible
aisle	0	0	0	0	0	0	0	0	0	0	pasillo
affections	0	0	0	0	0	0	0	0	0	0	afectos
ajar	0	0	0	0	0	0	0	0	0	0	un frasco
affiche	0	0	0	0	0	0	0	0	0	0	afiche
alabaster	0	0	0	0	0	0	1	0	0	0	alabastro
alarm	0	0	0	1	0	1	0	0	1	0	alarma
bereaved	0	0	0	0	0	1	0	1	0	0	desconsolado
alb	0	0	0	0	0	0	0	0	0	1	alba
album	0	0	0	0	0	0	0	0	0	0	álbum
alchemy	0	0	0	0	0	0	0	0	0	0	alquimia
alcohol	0	0	0	0	0	0	0	0	0	0	alcohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoholismo
alcove	0	0	0	0	0	0	0	0	0	0	hueco
alert	0	0	0	0	0	0	0	0	0	0	alerta
distressed	0	0	0	1	0	1	0	0	0	0	angustiado
alerts	0	1	0	1	0	0	0	0	1	0	alertas
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	álgebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraico
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmo
alibi	0	0	0	0	0	0	0	0	0	0	coartada
alien	0	0	1	1	0	1	0	0	0	0	extraterrestre
alienate	1	0	1	0	0	1	0	0	0	0	enajenar
alienated	0	0	0	0	0	1	0	1	0	0	alienado
alienation	1	0	1	1	0	1	0	1	0	0	alienación
alight	0	0	0	0	0	0	0	0	0	0	posarse
aligned	0	0	0	0	0	0	0	0	0	0	alineado
alignment	0	0	0	0	0	0	0	0	0	0	alineación
alike	0	0	0	0	0	0	0	0	0	0	similar
alimentation	0	0	0	0	0	0	1	0	0	0	alimentación
alimony	0	0	0	0	0	1	0	0	0	0	pensión alimenticia
aliquot	0	0	0	0	0	0	0	0	0	0	alícuota
gauging	0	0	0	0	0	0	0	0	0	1	aforo
alkali	0	0	0	0	0	0	0	0	0	0	álcali
alkaloids	0	0	0	0	0	0	0	0	0	0	alcaloides
stricken	0	0	0	0	0	0	0	1	0	0	golpeado
allegation	1	0	0	0	0	1	0	0	0	0	alegación
allege	0	0	0	0	0	1	0	0	0	0	alegar
alleged	0	0	0	0	0	0	0	0	0	0	presunto
afflict	0	0	0	1	0	1	0	1	0	0	afligir
allegorical	0	0	0	0	0	0	0	0	0	0	alegórico
allegory	0	0	0	0	0	0	0	0	0	0	alegoría
allegro	0	0	0	0	0	0	1	0	0	0	alegro
ail	0	0	0	0	0	1	0	1	0	0	padecer
affluent	0	0	0	0	0	0	1	0	0	0	afluente
alley	0	0	0	0	0	0	0	0	0	0	callejón
alliance	0	0	0	0	0	0	0	0	0	1	Alianza
tributary	0	1	0	0	0	0	1	0	0	0	tributario
alligator	0	0	0	0	0	0	0	0	0	0	caimán
allocate	0	0	0	0	0	0	0	0	0	0	asignar
allocation	0	0	0	0	0	0	0	0	0	0	asignación
allot	0	0	0	0	0	0	0	0	0	0	asignar
allotment	0	0	0	0	0	0	0	0	0	0	asignación
fortunate	0	0	0	0	0	0	1	0	0	0	afortunado
heaving	0	0	0	0	0	0	0	0	0	0	agitado
rouser	0	0	0	0	0	0	0	0	0	0	agitador
alloy	0	0	0	0	0	0	0	0	0	0	aleación
lucky	0	0	0	0	1	0	1	0	1	0	suerte
agile	0	0	0	0	0	0	1	0	0	0	ágil
allusion	0	0	0	0	0	0	0	0	0	0	alusión
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
lithe	0	0	0	0	0	0	1	0	0	0	ágil
almanac	0	0	0	0	0	0	0	0	0	0	almanaque
almighty	0	0	0	0	0	0	1	0	0	0	todopoderoso
aloft	0	0	0	0	0	0	0	0	0	0	en alto
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	junto a
aloof	0	0	0	0	0	1	0	0	0	0	a distancia
aloud	0	0	0	0	0	0	0	0	0	0	en voz alta
alphabet	0	0	0	0	0	0	0	0	0	0	alfabeto
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabético
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	alterar
alteration	0	0	0	0	0	0	0	0	0	0	modificación
altercation	1	0	0	0	0	1	0	0	0	0	altercado
altered	0	0	0	0	0	0	0	0	0	0	alterado
alternate	0	0	0	0	0	0	0	0	0	0	alterno
alternative	0	0	0	0	0	0	0	0	0	0	alternativa
altitude	0	0	0	0	0	0	0	0	0	0	altitud
alto	0	0	0	0	0	0	0	0	0	0	Alto
altogether	0	0	0	0	0	0	0	0	0	0	en total
alumnus	0	0	0	0	0	0	0	0	0	0	antiguo alumno
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgama
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamación
amass	0	0	0	0	0	0	0	0	0	0	acumular
amateur	0	0	0	0	0	0	0	0	0	0	aficionado
nimble	0	0	0	0	0	0	0	0	0	0	ágil
agitation	1	0	0	0	0	1	0	0	0	0	agitación
unrest	0	0	0	1	0	0	0	1	0	0	inquietud
ambassador	0	0	0	0	0	0	1	0	0	1	embajador
amber	0	0	0	0	0	0	0	0	0	0	ámbar
ambient	0	0	0	0	0	0	0	0	0	0	ambiente
ambiguity	0	0	0	0	0	0	0	0	0	0	ambigüedad
ambiguous	0	0	0	0	0	1	0	0	0	0	ambiguo
ambit	0	0	0	0	0	0	0	0	0	0	ámbito
ambition	0	1	0	0	1	0	1	0	0	1	ambición
ambitious	0	0	0	0	0	0	0	0	0	0	ambicioso
ambulance	0	0	0	1	0	0	0	0	0	1	ambulancia
ambush	1	0	0	1	0	1	0	0	1	0	emboscada
agreeable	0	0	0	0	0	0	1	0	0	1	agradable
amen	0	0	0	0	1	0	1	0	0	1	amén
amenable	0	0	0	0	0	0	1	0	0	0	dócil
amend	0	0	0	0	0	0	1	0	0	0	enmendar
amendment	0	0	0	0	0	0	0	0	0	0	enmienda
congenial	0	0	0	0	0	0	1	0	0	0	congeniable
amenity	0	0	0	0	0	0	1	0	0	0	amenidad
amethyst	0	0	0	0	0	0	0	0	0	0	amatista
pleasant	0	1	0	0	1	0	1	0	1	1	grato
amicable	0	0	0	0	1	0	1	0	0	0	amistoso
overwhelming	0	0	0	0	0	0	1	0	0	0	agobiante
amidst	0	0	0	0	0	0	0	0	0	0	en medio de
ammonia	0	0	1	0	0	0	0	0	0	0	amoníaco
ammunition	0	0	0	0	0	0	0	0	0	0	munición
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnistía
amorphous	0	0	0	0	0	0	0	0	0	0	amorfo
amortization	0	0	0	0	0	0	0	0	0	1	amortización
surveying	0	0	0	0	0	0	1	0	0	0	agrimensura
amour	0	1	0	0	1	0	1	0	0	1	aventura amorosa
fronting	0	0	0	0	0	0	0	0	0	0	al frente
amphetamines	0	0	1	0	0	1	0	0	0	0	anfetaminas
amphibian	0	0	0	0	0	0	0	0	0	0	anfibio
amphibious	0	0	0	0	0	0	0	0	0	0	anfibio
amphitheater	0	0	0	0	0	0	0	0	0	0	anfiteatro
amplification	0	0	0	0	0	0	0	0	0	0	amplificación
amplify	0	0	0	0	0	0	0	0	0	0	amplificar
amplitude	0	0	0	0	0	0	0	0	0	0	amplitud
amply	0	0	0	0	0	0	0	0	0	0	ampliamente
amputation	0	0	0	0	0	0	0	0	0	0	amputación
amulet	0	0	0	0	0	0	0	0	0	0	amuleto
pleasurable	0	0	0	0	1	0	1	0	0	0	placentero
amused	0	0	0	0	1	0	1	0	0	0	divertido
amusement	0	0	0	0	1	0	1	0	0	0	diversión
cupboard	0	0	0	0	0	0	0	0	0	0	alacena
