embrace	abrazar
offshoot	vástago
intelligent	inteligente
fierce	feroz
ornamented	adornado
pointless	inútil
encroachment	intrusión
outsider	forastero
unintended	imprevisto
unintentional	accidental
unwitting	involuntario
wrath	ira
annoying	molesto
joyous	alegre
spree	juerga
plodding	laborioso
crook	delincuente
robber	ladrón
thief	bandido
woeful	lamentable
loyalty	lealtad
legal	legal
liberty	atrevimiento
probation	libertad condicional
cleanliness	limpieza
cleansing	limpieza
crippled	lisiado
garish	estridente
cry	llorar
mourn	lamentar
praiseworthy	meritorio
crazed	enloquecido
daft	tonto
distraught	angustiado
insane	demente
loony	loco
madman	loco
lunacy	locura
madness	demencia
sludge	lodo
attainment	logro
fight	luchar
strife	lucha
wrestling	combate
fancy	elegante
superb	excelente
cursed	maldito
discomfort	molestia
possession	posesión
malaise	malestar
wickedness	maldad
malignant	malévolo
blot	mancha
smudge	mancha
stain	mancha
taint	corrupción
manual	manual
wonderful	maravilloso
lower	inferior
slaughtering	matanza
kill	matar
slay	asesinar
thug	matón
procure	obtener
marriage	matrimonio
steward	mayordomo
physician	médico
enhance	mejorar
trepidation	temor
provocation	provocación
uncanny	extraño
morals	moral
mortal	fatal
rampage	alboroto
neglect	descuidar
infant	bebé
nobleman	noble
obit	obituario
bawdy	indecente
relegation	descenso
hidden	escondido
hate	odio
hateful	odioso
odious	odioso
official	oficial
reparation	reparación
chance	posibilidad
opportune	oportuno
timely	puntual
orderly	ordenado
resplendent	resplandeciente
peaceable	pacífico
pact	pacto
repay	pagar
revolution	revolución
reward	premio
nappy	pañal
rigorous	riguroso
pest	plaga
tussle	pelea
ruinous	ruinoso
hazard	riesgo
peril	peligro
hazardous	peligroso
perilous	arriesgado
perdition	perdición
deleterious	nocivo
detrimental	perjudicial
salvation	salvación
persecute	perseguir
bugaboo	pesadilla
heft	peso
weight	importancia
godly	justo
ruth	piedad
jab	golpe
screech	chillido
police	policía
policeman	policía
endanger	perjudicar
porn	porno
precaution	prevención
gorgeous	hermoso
servitude	servidumbre
shatter	romper
untimely	inoportuno
concerned	interesado
worry	preocupado
preparation	preparado
preparedness	preparado
president	presidente
kudos	elogio
leading	líder
main	principal
prime	principal
principal	director
prison	cárcel
hardship	dificultad
producing	producción
teacher	profesor
prohibition	prohibición
barred	excluido
prohibited	prohibido
slave	esclavo
promise	promesa
forecast	previsión
prognosis	predicción
patronizing	condescendiente
protector	protector
ordeal	suplicio
standoff	enfrentamiento
whore	puta
rage	ira
beaming	resplandeciente
speedy	rapidez
swift	rapidez
rarity	escasez
soulless	desalmado
accomplish	lograr
refuse	negar
memento	recuerdo
recovery	recuperación
stable	estable
staggering	asombroso
stalemate	estancamiento
reformation	reforma
shelter	refugio
renewal	renovar
renounce	renunciar
relinquish	renunciar
stifle	sofocar
repellent	repelente
replete	repleto
loathsome	repugnante
strikingly	sorprendentemente
stripped	despojado
revolting	asqueroso
resistance	oposición
resistant	reacio
glow	brillo
answerable	responsable
suffering	sufrimiento
responsible	responsable
restriction	restricción
lag	retrasar
retardation	retraso
ludicrous	absurdo
surprising	sorprendente
ridiculous	ridículo
stiffness	rigidez
stark	marcado
wealth	riqueza
steal	robar
burglary	hurto
theft	robo
tackle	abordar
sturdy	robusto
rowdy	bullicioso
rupture	ruptura
wis	sabio
wise	sabio
tasty	sabroso
tenacious	tenaz
sortie	incursión
thorn	espina
thrill	emoción
salutary	saludable
salute	homenaje
untamed	indomable
gory	sangriento
healthful	saludable
wholesome	sano
secret	secreto
toleration	tolerancia
tort	agravio
allure	encanto
alluring	atractivo
touchy	quisquilloso
towering	imponente
supporter	partidario
transgression	transgresión
stud	semental
snake	serpiente
biased	parcial
aye	si
tumult	tumulto
sincere	sincero
unable	incapaz
lonesome	solitario
uncaring	indiferente
soundness	solidez
glum	sombrío
somber	sombrío
suspicious	sospechoso
soiled	sucio
filthy	sucio
superficial	superficial
unfavorable	desfavorable
unforeseen	imprevisto
supreme	supremo
deletion	eliminación
underwrite	garantizar
scare	asustar
tardy	tardío
dull	aburrido
quivering	tembloroso
unlucky	desafortunado
trembling	tembloroso
tremor	temblor
toughness	dureza
fraught	plagado
unspeakable	indecible
dire	grave
dreadful	terrible
silly	tonto
stupid	estúpido
whirlwind	torbellino
unwavering	inquebrantable
awry	torpe
upheaval	convulsión
blunder	torpeza
devious	taimado
usher	ujier
vacation	vacaciones
treachery	traición
treason	traición
pitfall	peligro
tranquil	tranquilo
naughty	travieso
dismal	sombrío
sorrowful	triste
sorrow	sufrimiento
trump	trompeta
tumour	tumor
tutelage	tutela
warlock	brujo
warned	prevenido
utility	utilidad
worthy	valioso
worth	valioso
venom	veneno
venomous	venenoso
retribution	represalia
wicked	malvado
vindictive	vengativo
wilderness	desierto
advance	avance
truthfulness	sinceridad
TRUE	verdadero
veritable	auténtico
executioner	ejecutor
disgraceful	bochornoso
voyage	viaje
sufferer	paciente
victim	víctima
winning	ganador
caretaker	vigilante
vigilant	vigilante
puke	vomitar
yell	gritar
